0.000000000000000000e+00;1.097359799580499909e-02;-1.266961969566085880e-02;-2.610151716693517798e+01;3.991783214557121937e+02
2.000000000000000042e-03;1.093115960602400807e-02;-1.281966458305838774e-02;-1.740531638349149546e+01;3.995866431437131041e+02
4.000000000000000083e-03;1.276829605717686410e-02;-1.318999945718142032e-02;-8.877445271438656249e+00;3.996776295831623429e+02
6.000000000000000125e-03;1.096319762694118391e-02;-1.269250336568597017e-02;-2.244873306445816508e-01;4.000970272269070165e+02
8.000000000000000167e-03;1.117295212489638132e-02;-1.228176517042250601e-02;8.329360198359104572e+00;3.996739316549736714e+02
1.000000000000000021e-02;1.076753793476903191e-02;-1.277862411855549586e-02;1.702977177756907068e+01;3.995097170234686246e+02
1.200000000000000025e-02;1.164963400015393662e-02;-1.295699740106856512e-02;2.561553999644380042e+01;3.992804036287494682e+02
1.400000000000000029e-02;1.114532763184997687e-02;-1.269648355558833375e-02;3.417419596019041705e+01;3.984363391050732730e+02
1.600000000000000033e-02;1.057907122874164954e-02;-1.286000530860881286e-02;4.305868213726753169e+01;3.978178603362062518e+02
1.800000000000000211e-02;1.134688853176456409e-02;-1.284478893108692045e-02;5.150203357972175411e+01;3.967243409836875117e+02
2.000000000000000042e-02;1.153463531970531052e-02;-1.291002379320563623e-02;6.008174533903600434e+01;3.955470803509623465e+02
2.199999999999999872e-02;1.125097118384205466e-02;-1.241241787917649400e-02;6.854966440209172163e+01;3.940832743972258640e+02
2.400000000000000050e-02;1.152695548365265631e-02;-1.305734930996991713e-02;7.716400394647322969e+01;3.926851480437379109e+02
2.600000000000000228e-02;1.107391457464689498e-02;-1.263052956380376901e-02;8.587085195977905983e+01;3.909825783979492826e+02
2.800000000000000058e-02;1.139824819712037876e-02;-1.251163852287303681e-02;9.413314250241025150e+01;3.888295392364080953e+02
2.999999999999999889e-02;1.192328478021191865e-02;-1.296389107301568547e-02;1.024552411812876187e+02;3.868389983879398528e+02
3.200000000000000067e-02;1.142118331039271642e-02;-1.247237161000812854e-02;1.108308252204706150e+02;3.844362438076066724e+02
3.400000000000000244e-02;1.093274311867219184e-02;-1.221803084498784310e-02;1.189964681787488132e+02;3.819529322619549703e+02
3.600000000000000422e-02;1.048376565934361522e-02;-1.270205683487111124e-02;1.272334130581733973e+02;3.795372505158461536e+02
3.799999999999999906e-02;1.077121523677250677e-02;-1.249375436454532896e-02;1.355096799546393527e+02;3.764420119771082796e+02
4.000000000000000083e-02;1.134967940769798442e-02;-1.244337645524120836e-02;1.434990486219991510e+02;3.734949747194062866e+02
4.200000000000000261e-02;1.137437833661526440e-02;-1.277007104240143395e-02;1.514470346599889012e+02;3.702771633524495769e+02
4.399999999999999745e-02;1.199987986774057186e-02;-1.332811128108312218e-02;1.592339223623934572e+02;3.670428602805159812e+02
4.599999999999999922e-02;1.056863315679076529e-02;-1.191779436742325046e-02;1.673387413857287243e+02;3.635449621110882390e+02
4.800000000000000100e-02;1.126960064252209570e-02;-1.244933749539761311e-02;1.751273059137133146e+02;3.596525279183389330e+02
5.000000000000000278e-02;1.150136210293399575e-02;-1.299335683829221967e-02;1.826420296838247737e+02;3.557706967166616323e+02
5.200000000000000455e-02;1.030145752830981601e-02;-1.264432697415473691e-02;1.903456225398278718e+02;3.519269584086322311e+02
5.399999999999999939e-02;1.133569659709294727e-02;-1.267327256141728697e-02;1.979254738727402412e+02;3.478218892672400671e+02
5.600000000000000117e-02;1.079193886203067866e-02;-1.267402360994629787e-02;2.053509540750376345e+02;3.434344890808450828e+02
5.800000000000000294e-02;1.151495929535498522e-02;-1.232931044757428277e-02;2.126790865250524689e+02;3.387569523891456811e+02
5.999999999999999778e-02;1.092395431309348651e-02;-1.257099989817248020e-02;2.198889656896322720e+02;3.342413506479512080e+02
6.199999999999999956e-02;1.166830509022642390e-02;-1.301159311939391675e-02;2.270921656437118941e+02;3.293342052426562532e+02
6.400000000000000133e-02;1.152938781263732754e-02;-1.272305207079929210e-02;2.339123208799013867e+02;3.244192304750171729e+02
6.600000000000000311e-02;1.115736353787421739e-02;-1.243614395344980715e-02;2.408224826107290824e+02;3.191248571398006106e+02
6.800000000000000488e-02;1.137928094329116770e-02;-1.257079384169270710e-02;2.477865300219277174e+02;3.138507413455719188e+02
7.000000000000000666e-02;1.138341662220468051e-02;-1.268424155878814831e-02;2.541248072148977712e+02;3.085499989633004247e+02
7.200000000000000844e-02;1.204664271888581870e-02;-1.307159822036819442e-02;2.608262217233578326e+02;3.028416491346482644e+02
7.399999999999999634e-02;1.078327119525423865e-02;-1.220354951087333426e-02;2.671235391580785290e+02;2.972592865619197937e+02
7.599999999999999811e-02;1.063456153062314682e-02;-1.241126346603539481e-02;2.734525888544827126e+02;2.913658710585891072e+02
