i;HALL_A;HALL_B;COIL_A;COIL_B
0.821993;57298;9234;54944;6212
0.822993;57248;9206;54970;6282
0.823993;57200;9176;54998;6348
0.824993;57152;9148;55026;6420
0.825993;57110;9120;55056;6494
0.826993;57060;9088;55088;6570
0.827993;57008;9062;55116;6644
0.828993;56966;9032;55146;6716
0.829993;56918;8998;55178;6788
0.830993;56872;8970;55206;6862
0.831993;56828;8940;55242;6932
0.832993;56782;8908;55268;7002
0.833993;56734;8878;55304;7066
0.834993;56688;8844;55338;7140
0.835993;56644;8816;55368;7208
0.836993;56600;8790;55410;7282
0.837993;56556;8754;55440;7352
0.838993;56512;8722;55474;7424
0.839993;56470;8688;55510;7492
0.840993;56424;8656;55546;7560
0.841993;56382;8626;55584;7634
0.842993;56336;8592;55620;7692
0.843993;56292;8556;55658;7752
0.844993;56248;8528;55696;7826
0.845993;56206;8492;55732;7890
0.846993;56162;8458;55772;7958
0.847993;56122;8422;55810;8026
0.848993;56078;8388;55850;8088
0.849993;56036;8352;55888;8156
0.850993;55998;8324;55928;8230
0.851993;55956;8288;55966;8294
0.852993;55914;8252;56002;8360
0.853993;55874;8218;56044;8422
0.854993;55834;8182;56086;8486
0.855993;55794;8146;56130;8554
0.856993;55752;8106;56170;8614
0.857993;55716;8074;56216;8680
0.858993;55678;8034;56260;8746
0.859993;55638;8000;56302;8810
0.860992;55598;7964;56344;8874
0.861992;55558;7930;56384;8942
0.862992;55522;7894;56428;9004
0.863992;55480;7854;56476;9066
0.864992;55442;7818;56520;9132
0.865992;55406;7778;56568;9192
0.866992;55370;7744;56612;9256
0.867992;55330;7706;56654;9318
0.868992;55292;7668;56704;9376
0.869992;55258;7630;56750;9434
0.870992;55220;7592;56796;9494
0.871992;55184;7552;56846;9558
0.872992;55148;7516;56892;9618
0.873992;55116;7478;56942;9680
0.874992;55076;7438;56994;9738
0.875992;55042;7402;57042;9792
0.876992;55014;7362;57086;9856
0.877992;54980;7324;57138;9916
0.878992;54944;7280;57194;9972
0.879992;54908;7240;57242;10028
0.880992;54872;7196;57294;10086
0.881992;54840;7162;57346;10144
0.882992;54810;7122;57392;10198
0.883992;54778;7082;57442;10260
0.884992;54744;7046;57498;10312
0.885992;54714;7000;57546;10366
0.886992;54682;6964;57602;10422
0.887992;54646;6924;57658;10474
0.888992;54614;6886;57712;10532
0.889992;54586;6844;57766;10588
0.890992;54552;6802;57822;10642
0.891992;54520;6764;57878;10694
0.892992;54492;6724;57934;10746
0.893992;54464;6682;57986;10796
0.894992;54432;6644;58040;10848
0.895992;54400;6600;58098;10904
0.896992;54374;6558;58156;10952
0.897992;54346;6520;58208;11006
0.898992;54318;6476;58268;11058
0.899992;54290;6436;58320;11110
0.900992;54258;6398;58376;11160
0.901992;54236;6348;58434;11204
0.902992;54206;6310;58494;11250
0.903992;54178;6270;58550;11298
0.904992;54154;6226;58608;11348
0.905992;54126;6186;58672;11390
0.906992;54100;6136;58730;11444
0.907992;54068;6104;58792;11490
0.908992;54042;6060;58848;11544
0.909992;54014;6016;58904;11590
0.910992;53994;5976;58966;11636
0.911992;53968;5932;59028;11684
0.912992;53942;5888;59088;11732
0.913992;53918;5848;59150;11778
0.914992;53894;5806;59210;11820
0.915992;53868;5762;59278;11864
0.916992;53846;5716;59340;11908
0.917992;53818;5674;59402;11950
0.918992;53798;5632;59466;11998
0.919992;53774;5588;59526;12042
0.920992;53752;5544;59590;12084
0.921992;53730;5504;59660;12128
0.922992;53710;5454;59720;12170
0.923992;53684;5414;59780;12210
0.924992;53662;5374;59846;12252
0.925992;53642;5328;59916;12288
0.926992;53622;5286;59976;12326
0.927992;53596;5244;60038;12366
0.928992;53576;5198;60106;12412
0.929992;53556;5158;60166;12450
0.930992;53536;5112;60230;12492
0.931992;53516;5066;60300;12530
0.932992;53498;5024;60360;12562
0.933992;53478;4980;60426;12600
0.934992;53462;4940;60492;12634
0.935992;53434;4888;60560;12670
0.936992;53418;4848;60632;12706
0.937991;53398;4802;60700;12744
0.938991;53382;4760;60772;12778
0.939991;53364;4712;60842;12814
0.940991;53346;4668;60908;12848
0.941991;53330;4626;60976;12882
0.942991;53312;4582;61044;12918
0.943991;53296;4536;61116;12948
0.944991;53282;4486;61182;12982
0.945991;53264;4448;61248;13018
0.946991;53248;4402;61312;13048
0.947991;53236;4358;61384;13078
0.948991;53218;4312;61458;13106
0.949991;53204;4268;61522;13138
0.950991;53190;4224;61590;13168
0.951991;53172;4180;61666;13198
0.952991;53156;4138;61734;13226
0.953991;53144;4090;61794;13258
0.954991;53128;4048;61868;13280
0.955991;53118;4002;61942;13310
0.956991;53102;3958;62014;13332
0.957991;53092;3914;62088;13358
0.958991;53076;3868;62158;13388
0.959991;53064;3824;62228;13410
0.960991;53052;3780;62300;13436
0.961991;53042;3736;62372;13462
0.962991;53024;3690;62438;13484
0.963991;53016;3646;62508;13510
0.964991;53008;3600;62578;13534
0.965991;52992;3554;62654;13558
0.966991;52980;3508;62728;13576
0.967991;52970;3462;62804;13604
0.968991;52962;3422;62878;13624
0.969991;52950;3374;62948;13646
0.970991;52942;3328;63020;13664
0.971991;52930;3284;63090;13684
0.972991;52922;3238;63158;13708
0.973991;52908;3194;63228;13724
0.974991;52902;3148;63302;13742
0.975991;52890;3104;63378;13762
0.976991;52884;3060;63452;13780
0.977991;52876;3012;63516;13798
0.978991;52870;2970;63594;13814
0.979991;52860;2930;63664;13832
0.980991;52852;2882;63740;13846
0.981991;52844;2842;63818;13862
0.982991;52836;2794;63898;13880
0.983991;52832;2748;63966;13896
0.984991;52822;2706;64044;13906
0.985991;52820;2660;64116;13920
0.986991;52812;2612;64190;13932
0.987991;52812;2568;64270;13944
0.988991;52806;2524;64340;13958
0.989991;52798;2478;64410;13966
0.990991;52796;2436;64486;13976
0.991991;52792;2388;64562;13988
0.992991;52788;2344;64642;14000
0.993991;52778;2266;64760;14018
0.994991;52776;2250;64780;14018
0.995991;52770;2208;64856;14026
0.996991;52766;2164;64938;14036
0.997991;52764;2120;65006;14042
0.998991;52758;2070;65088;14048
