i;HALL_A;HALL_B;COIL_A;COIL_B
0.188000;56348;57300;11326;7344
0.189000;56400;57248;11360;7278
0.190000;56454;57198;11394;7210
0.191000;56510;57144;11426;7138
0.192000;56564;57092;11462;7068
0.193000;56618;57042;11494;6998
0.194000;56676;56994;11524;6928
0.195000;56732;56946;11558;6858
0.196000;56788;56894;11586;6784
0.197000;56846;56848;11616;6718
0.198000;56902;56796;11650;6660
0.199000;56958;56748;11680;6590
0.200000;57014;56700;11708;6520
0.201000;57076;56650;11736;6442
0.202000;57134;56602;11760;6372
0.203000;57192;56558;11788;6300
0.204000;57248;56514;11816;6224
0.205000;57312;56468;11848;6150
0.206000;57374;56418;11872;6080
0.207000;57432;56372;11900;6004
0.208000;57558;56282;11948;5860
0.209000;57614;56234;11974;5796
0.210000;57636;56222;11980;5776
0.211000;57678;56186;11996;5728
0.212000;57740;56142;12018;5654
0.213000;57804;56100;12044;5578
0.214000;57870;56054;12062;5506
0.215000;57932;56010;12088;5436
0.216000;57998;55972;12110;5358
0.217000;58058;55926;12134;5290
0.218000;58122;55886;12154;5220
0.219000;58186;55844;12174;5144
0.220000;58252;55806;12196;5072
0.221000;58320;55762;12216;4992
0.222000;58384;55722;12236;4914
0.223000;58448;55678;12252;4838
0.224000;58518;55638;12270;4760
0.225000;58582;55596;12288;4678
0.226000;58652;55564;12308;4600
0.227000;58718;55526;12328;4526
0.228000;58790;55484;12344;4448
0.229000;58856;55448;12358;4372
0.230000;58924;55408;12374;4296
0.231000;58992;55376;12390;4212
0.232000;59062;55334;12406;4144
0.233000;59126;55300;12416;4070
0.234000;59198;55264;12432;3994
0.235000;59270;55226;12446;3914
0.236000;59336;55194;12458;3834
0.237000;59406;55162;12474;3756
0.238000;59476;55126;12476;3680
0.239000;59548;55096;12494;3606
0.240000;59620;55064;12504;3532
0.241000;59692;55032;12514;3452
0.242000;59762;54996;12524;3376
0.243000;59834;54970;12536;3296
0.244000;59900;54936;12542;3226
0.245000;59974;54908;12556;3146
0.246000;60050;54882;12564;3068
0.247000;60118;54848;12568;2992
0.248000;60192;54820;12576;2912
0.249000;60264;54796;12582;2834
0.250000;60338;54764;12592;2756
0.251000;60416;54738;12596;2680
0.252000;60486;54710;12598;2600
0.253000;60558;54690;12604;2524
0.254000;60636;54664;12608;2444
0.255000;60706;54636;12614;2364
0.256000;60778;54606;12616;2288
0.257000;60858;54586;12618;2208
0.258000;60930;54560;12620;2136
0.259000;61004;54538;12624;2066
0.260000;61158;54492;12622;1914
0.261000;61232;54470;12624;1842
0.262000;61274;54458;12630;1804
0.263000;61308;54448;12628;1768
0.264000;61382;54430;12628;1688
0.265000;61458;54408;12628;1606
0.266000;61536;54388;12624;1528
0.267000;61612;54368;12624;1446
0.268000;61688;54346;12622;1366
0.269000;61766;54332;12618;1292
0.270000;61844;54312;12616;1212
0.271000;61920;54298;12610;1132
0.272000;61992;54274;12608;1056
0.273000;62070;54266;12600;990
0.274000;62146;54244;12600;914
0.275000;62224;54232;12590;836
0.276000;62302;54210;12586;758
0.277000;62382;54202;12578;678
0.278000;62458;54188;12568;598
0.279000;62534;54172;12564;518
0.280000;62612;54158;12554;440
0.281000;62692;54144;12546;358
0.282000;62764;54132;12534;282
0.283000;62842;54120;12530;210
0.284000;62918;54112;12516;134
0.285000;62994;54096;12504;56
0.286000;63072;54086;12490;65520
0.287000;63148;54078;12486;65436
0.288000;63226;54066;12470;65360
0.289000;63302;54054;12462;65282
0.290000;63376;54046;12446;65204
0.291000;63450;54034;12434;65128
0.292000;63534;54024;12422;65056
0.293000;63606;54016;12406;64978
0.294000;63682;54012;12390;64904
0.295000;63758;53998;12376;64826
0.296000;63832;53994;12358;64748
0.297000;63908;53988;12344;64668
0.298000;63988;53986;12330;64594
0.299000;64058;53980;12316;64516
0.300000;64138;53974;12296;64444
0.301000;64218;53972;12286;64362
0.302000;64288;53968;12264;64290
0.303000;64364;53968;12244;64214
0.304000;64442;53966;12222;64142
0.305000;64516;53966;12206;64066
0.306000;64598;53964;12184;63994
0.307000;64676;53966;12166;63914
0.308000;64748;53964;12144;63836
0.309000;64824;53970;12122;63764
0.310000;64904;53972;12098;63690
0.311000;64978;53970;12072;63612
0.312000;65056;53978;12054;63534
0.313000;65134;53984;12032;63462
0.314000;65212;53982;12008;63388
0.314999;65288;53994;11984;63314
0.315999;65364;53998;11960;63238
0.316999;65442;54006;11930;63164
0.317999;65522;54012;11904;63096
0.318999;64;54022;11882;63022
0.319999;140;54030;11856;62950
0.320999;222;54036;11828;62876
0.321999;298;54048;11798;62810
0.322999;372;54056;11770;62736
0.323999;452;54070;11742;62662
0.324999;530;54082;11716;62590
0.325999;606;54090;11686;62518
0.326999;684;54100;11658;62446
0.327999;760;54118;11626;62378
0.328999;834;54132;11594;62316
0.329999;914;54146;11562;62242
0.330999;992;54160;11534;62172
0.331999;1066;54174;11502;62100
0.332999;1150;54190;11468;62030
0.333999;1220;54208;11436;61958
0.334999;1298;54230;11402;61886
0.335999;1372;54250;11366;61816
0.336999;1450;54264;11330;61750
0.337999;1530;54286;11298;61684
0.338999;1606;54310;11264;61620
