angular_velocity  [rad/s];mean_torque [Nm];std_mean_torque [Nm];std_torque [Nm];mean_phase [rad];std_mean_phase [rad];std_phase [rad]
6.283185307180;-0.000000321316;0.000000004436;0.000000243024;3.783553255198;0.009490905048;0.519924911072
12.566370614359;0.000000339316;0.000000007720;0.000000422911;1.797037100772;0.030555467601;1.673870794762
18.849555921539;-0.000000096469;0.000000012292;0.000000673393;2.836390730849;0.036327205164;1.990054564830
25.132741228718;0.000000126487;0.000000014017;0.000000767875;2.622572735212;0.032671326948;1.789780497512
31.415926535898;-0.000000247686;0.000000012747;0.000000698286;3.132191277478;0.036868259730;2.019694282609
37.699111843078;0.000000003574;0.000000016750;0.000000917564;2.806940987726;0.032806351160;1.797177310689
43.982297150257;-0.000000089587;0.000000016386;0.000000897650;2.848548103281;0.035123368162;1.924106708066
50.265482457437;-0.000000187389;0.000000018771;0.000001028315;3.022408922713;0.034965854444;1.915477888687
56.548667764616;-0.000000165904;0.000000020926;0.000001146375;2.883264481912;0.037256939319;2.040986688285
62.831853071796;-0.000000013239;0.000000024241;0.000001327940;2.233889196069;0.040650783769;2.226906183336
-6.283185307180;-0.000000494748;0.000000002395;0.000000131180;4.279008552256;0.008797670871;0.481948583667
-12.566370614359;0.000000358705;0.000000007227;0.000000395883;1.770028206887;0.021481157494;1.176767530982
-18.849555921539;-0.000000147780;0.000000011166;0.000000611683;2.944941499150;0.035500114248;1.944745379971
-25.132741228718;-0.000000148025;0.000000013233;0.000000724910;2.994233371115;0.032852063238;1.799681481562
-31.415926535898;-0.000000243336;0.000000012766;0.000000699322;3.089989270021;0.037306322572;2.043691971234
-37.699111843078;-0.000000134221;0.000000015915;0.000000871819;2.830437861653;0.036976022458;2.025597673943
-43.982297150257;0.000000020559;0.000000016495;0.000000903611;2.722621961372;0.034844621645;1.908836588178
-50.265482457437;-0.000000020231;0.000000018145;0.000000994033;2.625561062242;0.037883687615;2.075320827161
-56.548667764616;0.000000120166;0.000000020920;0.000001146033;2.535162950267;0.036312272937;1.989236556760
-62.831853071796;-0.000000031253;0.000000024303;0.000001331362;2.285573020529;0.040640396599;2.226337159771
