angular_velocity  [rad/s];mean_torque [Nm];std_mean_torque [Nm];std_torque [Nm];mean_phase [rad];std_mean_phase [rad];std_phase [rad]
6.283185307179586232;0.000000682405881063;0.000000001492900278;0.000000094431105647;0.767658080584084579;0.001949305970123817;0.123300344096870143
12.566370614359172464;0.000000554886488778;0.000000000830515775;0.000000052532995004;-0.189076511985076967;0.030635829186331030;1.937822147093520853
18.849555921538758696;0.000000725584967133;0.000000001006298043;0.000000063651831402;0.006088022715139411;0.030094424000198711;1.903576396673075211
25.132741228718344928;0.000000897405549092;0.000000001052220670;0.000000066556596411;0.192279855786558040;0.026204485349787834;1.657524324057245479
31.415926535897931160;0.000001073379168503;0.000000000903525115;0.000000057151088268;-0.092566909964986663;0.035088443551503153;2.219465404627646077
37.699111843077517392;0.000001264578940039;0.000000000956148326;0.000000060479688339;-0.311877374749372827;0.038402368453092438;2.429082615542560220
43.982297150257103624;0.000001406960451309;0.000000000796180064;0.000000050361142587;0.228635015043945122;0.032548454898899189;2.058802338044865454
50.265482457436689856;0.000001586628240628;0.000000000855291740;0.000000054100160486;-0.016920062333561560;0.036087846045878599;2.282681068733951157
56.548667764616276088;0.000001776223332873;0.000000000915931992;0.000000057935866178;0.100566624929136372;0.034224097142202640;2.164792504980764143
62.831853071795862320;0.000001974426949677;0.000000000964016775;0.000000060977394975;-0.064486501014667866;0.036781990157552631;2.326588084427740899
-6.283185307179586232;0.000000468449761640;0.000000003931067552;0.000000248653617879;0.514648241623594571;0.004477001503149506;0.283185828351757318
-12.566370614359172464;-0.000000140116400918;0.000000001274651826;0.000000080626136223;-0.082801287686493141;0.007519627708728745;0.475642458483683250
-18.849555921538758696;-0.000000351797061647;0.000000001518222808;0.000000096032843256;-0.136280263927057499;0.016179485580405169;1.023408418149763799
-25.132741228718344928;-0.000000486974691969;0.000000001490301618;0.000000094266731410;0.014011390707937280;0.025724875690295249;1.627187354410627007
-31.415926535897931160;-0.000000661814724885;0.000000001641925394;0.000000103857459643;-0.070613620800949281;0.022843278233377347;1.444916349533914346
-37.699111843077517392;-0.000000824579181414;0.000000001623663463;0.000000102702329295;0.036795151138909417;0.028754484961168218;1.818820618404568989
-43.982297150257103624;-0.000001018011723540;0.000000001682563256;0.000000106427944903;-0.107986863784324719;0.028605625750136622;1.809404758491607978
-50.265482457436689856;-0.000001173096619468;0.000000001640733201;0.000000103782049270;-0.103965700713022510;0.028797619034422822;1.821548997712951534
-56.548667764616276088;-0.000001355122053026;0.000000001711278828;0.000000108244304139;-0.165970786726826552;0.027813673115179152;1.759311015438804082
-62.831853071795862320;-0.000001530068518419;0.000000001599646751;0.000000101183189196;-0.057937087355419845;0.032518227904751139;2.056890376127859632
